Name,Team_16,Salary,Position,Age,Height,Weight
中村　剛也,西武,41000,内野手,32,175,102
鳥谷　敬,阪神,40000,内野手,35,180,79
バレンティン,ヤクルト,36000,外野手,32,185,100
中島　宏之,オリックス,35000,内野手,33,180,90
内川　聖一,ソフトバンク,33000,外野手,33,185,93
阿部　慎之助,巨人,32600,内野手,37,180,97
ギャレット,巨人,30000,外野手,35,196,107
村田　修一,巨人,30000,内野手,35,177,92
糸井　嘉男,オリックス,28000,外野手,34,187,88
柳田　悠岐,ソフトバンク,27000,外野手,27,188,93
デスパイネ,ロッテ,25000,外野手,30,175,95
ブランコ,オリックス,25000,内野手,35,188,102
坂本　勇人,巨人,25000,内野手,27,186,83
メヒア,西武,25000,内野手,30,198,118
中田　翔,日本ハム,24500,内野手,27,183,100
クルーズ,巨人,24400,内野手,32,183,95
山田　哲人,ヤクルト,22000,内野手,24,180,76
松田　宣浩,ソフトバンク,22000,内野手,33,181,88
ゴームズ,楽天,20000,外野手,35,186,104
栗山　巧,西武,20000,外野手,32,177,85
福留　孝介,阪神,20000,外野手,39,182,92
ゴメス,阪神,20000,内野手,31,188,104
今江　敏晃,楽天,20000,内野手,32,180,89
長谷川　勇也,ソフトバンク,20000,外野手,31,180,89
大谷　翔平,日本ハム,20000,投手,22,193,92
本多　雄一,ソフトバンク,18000,内野手,31,175,71
井口　資仁,ロッテ,18000,内野手,41,178,91
長野　久義,巨人,17500,外野手,31,180,85
ビシエド,中日,17000,外野手,27,185,108
陽　岱鋼,日本ハム,16000,外野手,29,183,89
松井　稼頭央,楽天,16000,外野手,40,177,85
川端　慎吾,ヤクルト,16000,内野手,28,185,86
ロペス,DeNA,15000,内野手,32,183,103
秋山　翔吾,西武,15000,外野手,28,183,85
田中　賢介,日本ハム,15000,内野手,35,176,78
森野　将彦,中日,14000,内野手,37,180,85
ナバーロ,ロッテ,14000,内野手,28,183,93
畠山　和洋,ヤクルト,13000,内野手,33,180,96
エルドレッド,広島,12500,内野手,36,196,122
中村　晃,ソフトバンク,12000,外野手,26,176,84
ルナ,広島,12000,内野手,36,187,99
藤田　一也,楽天,11000,内野手,34,175,75
嶋　基宏,楽天,11000,捕手,31,179,82
西岡　剛,阪神,10800,内野手,31,182,82
浅村　栄斗,西武,10000,内野手,25,182,93
筒香　嘉智,DeNA,10000,外野手,24,185,97
炭谷　銀仁_,西武,10000,捕手,29,181,93
石原　慶幸,広島,10000,捕手,36,177,90
レアード,日本ハム,10000,内野手,28,185,98
細川　亨,ソフトバンク,10000,捕手,36,183,105
ボグセビック,オリックス,9200,外野手,32,191,97
モレル,オリックス,9200,内野手,29,185,100
今宮　健太,ソフトバンク,9000,内野手,25,171,73
梵　英心,広島,9000,内野手,35,173,76
大島　洋平,中日,9000,外野手,30,176,74
後藤　光尊,楽天,9000,内野手,37,175,75
荒木　雅博,中日,8800,内野手,38,180,74
片岡　治大,巨人,8600,内野手,33,176,78
菊池　涼介,広島,8500,内野手,26,171,69
丸　佳浩,広島,8500,外野手,27,177,90
梶谷　隆幸,DeNA,8300,外野手,27,180,85
銀次,楽天,8100,内野手,28,174,78
中島　卓也,日本ハム,8000,内野手,25,176,73
エリアン,DeNA,8000,内野手,31,180,93
鈴木　大地,ロッテ,8000,内野手,26,175,79
ヘイグ,阪神,8000,内野手,30,191,102
角中　勝也,ロッテ,8000,外野手,29,180,85
鶴岡　慎也,ソフトバンク,7600,捕手,35,175,77
ロマック,DeNA,7500,内野手,30,188,100
明石　健志,ソフトバンク,7000,内野手,30,175,66
石川　雄洋,DeNA,7000,内野手,30,183,78
平田　良介,中日,7000,外野手,28,177,88
亀井　善行,巨人,7000,外野手,33,178,82
大引　啓次,ヤクルト,7000,内野手,32,178,84
小谷野　栄一,オリックス,7000,内野手,35,177,88
中村　悠平,ヤクルト,6700,捕手,26,176,83
雄平,ヤクルト,6500,外野手,32,174,83
サブロー,ロッテ,6500,外野手,40,181,90
田中　浩康,ヤクルト,6500,内野手,34,177,77
Ｔ－岡田,オリックス,6400,外野手,28,186,98
安達　了一,オリックス,6300,内野手,28,178,78
聖澤　諒,楽天,6240,外野手,30,179,72
西川　遥輝,日本ハム,6200,内野手,24,179,76
清田　育宏,ロッテ,6000,外野手,30,180,85
カニザレス,ソフトバンク,6000,内野手,36,190,109
新井　貴浩,広島,6000,内野手,39,189,96
鈴木　尚広,巨人,6000,外野手,38,180,78
プライディ,広島,5700,外野手,32,185,93
伊藤　光,オリックス,5700,捕手,27,180,83
アンダーソン,巨人,5500,外野手,34,185,93
相川　亮二,巨人,5500,捕手,40,183,86
大和,阪神,5300,外野手,28,177,68
渡辺　直人,西武,5200,内野手,35,173,73
矢野　謙次,日本ハム,5000,外野手,35,178,85
吉村　裕基,ソフトバンク,5000,外野手,32,183,92
近藤　健介,日本ハム,4800,捕手,22,173,83
大野　奨太,日本ハム,4500,捕手,29,177,78
福浦　和也,ロッテ,4500,内野手,40,183,88
エルナンデス,中日,4500,内野手,33,178,87
根元　俊一,ロッテ,4400,内野手,33,177,77
