Name,League,Team_15,AVG,AB,H,HR,RBI,SLG,OBP,OPS,RC,RC27,XR,XR27
山田　哲人,セ,ヤクルト,0.329,557,183,38,100,0.61,0.416,1.027,138.74,9.56,133.36,9.19
川端　慎吾,セ,ヤクルト,0.336,581,195,8,57,0.439,0.383,0.822,93.68,6.2,88.39,5.85
雄平,セ,ヤクルト,0.27,551,149,8,60,0.388,0.307,0.695,64.96,4.21,63.25,4.1
畠山　和洋,セ,ヤクルト,0.268,512,137,26,105,0.471,0.344,0.815,83.78,5.76,85.19,5.85
中村　悠平,セ,ヤクルト,0.231,442,102,2,33,0.276,0.299,0.575,36.74,2.7,37.46,2.76
大引　啓次,セ,ヤクルト,0.225,311,70,5,41,0.338,0.287,0.625,30.37,3.19,30.83,3.24
比屋根　渉,セ,ヤクルト,0.23,209,48,3,9,0.301,0.3,0.601,20.36,3.14,20.59,3.18
上田　剛史,セ,ヤクルト,0.263,209,55,1,19,0.306,0.313,0.619,21.42,3.34,21.76,3.4
デニング,セ,ヤクルト,0.222,194,43,4,22,0.345,0.326,0.671,23.52,4.07,24.1,4.17
坂本　勇人,セ,巨人,0.269,479,129,12,68,0.401,0.353,0.754,72.74,5.27,72.78,5.27
長野　久義,セ,巨人,0.251,434,109,15,52,0.415,0.31,0.725,53.88,4.2,54.04,4.22
亀井　善行,セ,巨人,0.272,382,104,6,35,0.374,0.338,0.712,51.68,4.75,51.95,4.77
阿部　慎之助,セ,巨人,0.242,343,83,15,47,0.414,0.37,0.784,55.73,5.51,57.15,5.65
片岡　治大,セ,巨人,0.244,348,85,10,36,0.374,0.299,0.672,40.19,3.45,40.27,3.45
村田　修一,セ,巨人,0.236,330,78,12,39,0.373,0.31,0.683,36.22,3.64,37.36,3.75
立岡　宗一郎,セ,巨人,0.304,339,103,0,14,0.348,0.343,0.691,43.18,4.66,42.3,4.57
井端　弘和,セ,巨人,0.234,269,63,1,19,0.279,0.331,0.61,27.67,3.32,28.43,3.41
アンダーソン,セ,巨人,0.252,234,59,7,31,0.402,0.327,0.729,30.46,4.54,29.87,4.46
鳥谷　敬,セ,阪神,0.281,551,155,6,42,0.367,0.38,0.747,83.33,5.42,82.01,5.34
ゴメス,セ,阪神,0.271,520,141,17,72,0.423,0.364,0.787,79.92,5.42,79.13,5.37
マートン,セ,阪神,0.276,544,150,9,59,0.375,0.316,0.691,59.13,3.79,58.64,3.76
福留　孝介,セ,阪神,0.281,495,139,20,76,0.463,0.361,0.824,81.24,5.76,81.53,5.78
上本　博紀,セ,阪神,0.253,375,95,4,31,0.339,0.338,0.677,47.76,4.02,46.93,3.95
今成　亮太,セ,阪神,0.283,269,76,1,16,0.32,0.345,0.664,31.99,4.23,31.51,4.17
大和,セ,阪神,0.225,249,56,0,12,0.245,0.272,0.517,15.57,1.83,15.75,1.85
