"RESULT"
"STATUS","0"
"ERROR_MSG","正常に終了しました。"
"DATE","2018-06-13T13:29:04.899+09:00"
"RESULT_INF"
"TOTAL_NUMBER","2070"
"FROM_NUMBER","1"
"TO_NUMBER","2070"
"TABLE_INF","0003142014"
"STAT_NAME","00200521","国勢調査"
"GOV_ORG","00200","総務省"
"STATISTICS_NAME","平成27年国勢調査 速報集計 抽出速報集計"
"TITLE","00110","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人) 全国(市部・郡部)"
"CYCLE","-"
"SURVEY_DATE","201510"
"OPEN_DATE","2016-06-29"
"SMALL_AREA","0"
"MAIN_CATEGORY","02","人口・世帯"
"SUB_CATEGORY","01","人口"
"OVERALL_TOTAL_NUMBER","2070"
"UPDATED_DATE","2016-09-01"
"STATISTICS_NAME_SPEC","平成27年国勢調査","速報集計","抽出速報集計","","",""
"TITLE_SPEC","","年齢(各歳)，男女別人口，年齢別割合，平均年齢及び年齢中位数(総数及び日本人)","全国(市部・郡部)","",""
"NOTE","***","当該数値がないもの"
"NOTE","-","当該数値がないもの"
"VALUE"
"tab_code","表章項目","cat01_code","国籍_2015","cat02_code","男女別_2015","cat03_code","年齢_2015","area_code","地域（2015）","time_code","時間軸(年次)","unit","value"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0000","総数（年齢）","00000","全国","2015000000","2015年","人","127110000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0000","総数（年齢）","00001","全国市部","2015000000","2015年","人","116137900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0000","総数（年齢）","00002","全国郡部","2015000000","2015年","人","10972200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0010","0歳","00000","全国","2015000000","2015年","人","967100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0010","0歳","00001","全国市部","2015000000","2015年","人","891000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0010","0歳","00002","全国郡部","2015000000","2015年","人","76100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0020","1歳","00000","全国","2015000000","2015年","人","1000000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0020","1歳","00001","全国市部","2015000000","2015年","人","918400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0020","1歳","00002","全国郡部","2015000000","2015年","人","81500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0030","2歳","00000","全国","2015000000","2015年","人","1039000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0030","2歳","00001","全国市部","2015000000","2015年","人","955800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0030","2歳","00002","全国郡部","2015000000","2015年","人","83200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0040","3歳","00000","全国","2015000000","2015年","人","1056900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0040","3歳","00001","全国市部","2015000000","2015年","人","966900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0040","3歳","00002","全国郡部","2015000000","2015年","人","90000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0050","4歳","00000","全国","2015000000","2015年","人","1057400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0050","4歳","00001","全国市部","2015000000","2015年","人","971900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0050","4歳","00002","全国郡部","2015000000","2015年","人","85400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0060","5歳","00000","全国","2015000000","2015年","人","1041900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0060","5歳","00001","全国市部","2015000000","2015年","人","957100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0060","5歳","00002","全国郡部","2015000000","2015年","人","84900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0070","6歳","00000","全国","2015000000","2015年","人","1023100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0070","6歳","00001","全国市部","2015000000","2015年","人","931000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0070","6歳","00002","全国郡部","2015000000","2015年","人","92000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0080","7歳","00000","全国","2015000000","2015年","人","1079900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0080","7歳","00001","全国市部","2015000000","2015年","人","988400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0080","7歳","00002","全国郡部","2015000000","2015年","人","91500"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0090","8歳","00000","全国","2015000000","2015年","人","1038900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0090","8歳","00001","全国市部","2015000000","2015年","人","945000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0090","8歳","00002","全国郡部","2015000000","2015年","人","93900"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0100","9歳","00000","全国","2015000000","2015年","人","1038000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0100","9歳","00001","全国市部","2015000000","2015年","人","946700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0100","9歳","00002","全国郡部","2015000000","2015年","人","91400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0110","10歳","00000","全国","2015000000","2015年","人","1055000"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0110","10歳","00001","全国市部","2015000000","2015年","人","965600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0110","10歳","00002","全国郡部","2015000000","2015年","人","89300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0120","11歳","00000","全国","2015000000","2015年","人","1073300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0120","11歳","00001","全国市部","2015000000","2015年","人","978700"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0120","11歳","00002","全国郡部","2015000000","2015年","人","94600"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0130","12歳","00000","全国","2015000000","2015年","人","1106100"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0130","12歳","00001","全国市部","2015000000","2015年","人","1005800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0130","12歳","00002","全国郡部","2015000000","2015年","人","100300"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0140","13歳","00000","全国","2015000000","2015年","人","1120200"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0140","13歳","00001","全国市部","2015000000","2015年","人","1018400"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0140","13歳","00002","全国郡部","2015000000","2015年","人","101800"
"020","人口","0000","総数（国籍）","0000","総数（男女別）","0150","14歳","00000","全国","2015000000","2015年","人","1167600"
