year,month,day,hour,minute,usd,
2018,06,10,00,18,109.530000,
2018,06,10,00,19,109.530000,
2018,06,10,00,20,109.530000,
2018,06,10,00,21,109.530000,
2018,06,10,00,22,109.530000,
2018,06,10,00,23,109.530000,
2018,06,10,00,24,109.530000,
2018,06,10,00,25,109.530000,
2018,06,10,00,26,109.530000,
2018,06,10,00,27,109.530000,
2018,06,10,00,28,109.530000,
2018,06,10,00,29,109.530000,
2018,06,10,00,30,109.530000,
2018,06,10,00,31,109.530000,
2018,06,10,00,32,109.530000,
2018,06,10,00,33,109.530000,
2018,06,10,00,34,109.530000,
2018,06,10,00,35,109.530000,
2018,06,10,00,36,109.530000,
2018,06,10,00,37,109.530000,
2018,06,10,00,38,109.530000,
2018,06,10,00,39,109.530000,
2018,06,10,00,40,109.530000,
2018,06,10,00,41,109.530000,
2018,06,10,00,42,109.530000,
2018,06,10,00,43,109.530000,
2018,06,10,00,44,109.530000,
2018,06,10,00,45,109.530000,
2018,06,10,00,46,109.530000,
2018,06,10,00,47,109.530000,
2018,06,10,00,48,109.530000,
2018,06,10,00,49,109.530000,
2018,06,10,00,50,109.530000,
2018,06,10,00,51,109.530000,
2018,06,10,00,52,109.530000,
2018,06,10,00,53,109.530000,
2018,06,10,00,54,109.530000,
2018,06,10,00,55,109.530000,
2018,06,10,00,56,109.530000,
2018,06,10,00,57,109.530000,
2018,06,10,00,58,109.530000,
2018,06,10,00,59,109.530000,
2018,06,10,01,00,109.530000,
2018,06,10,01,01,109.530000,
2018,06,10,01,02,109.530000,
2018,06,10,01,03,109.530000,
2018,06,10,01,04,109.530000,
2018,06,10,01,05,109.530000,
2018,06,10,01,06,109.530000,
2018,06,10,01,07,109.530000,
2018,06,10,01,08,109.530000,
2018,06,10,01,09,109.530000,
2018,06,10,01,10,109.530000,
2018,06,10,01,11,109.530000,
2018,06,10,01,12,109.530000,
2018,06,10,01,13,109.530000,
2018,06,10,01,14,109.530000,
2018,06,10,01,15,109.530000,
2018,06,10,01,16,109.530000,
2018,06,10,01,17,109.530000,
2018,06,10,01,18,109.530000,
2018,06,10,01,19,109.530000,
2018,06,10,01,20,109.530000,
2018,06,10,01,21,109.530000,
2018,06,10,01,22,109.530000,
2018,06,10,01,23,109.530000,
2018,06,10,01,24,109.530000,
2018,06,10,01,25,109.530000,
2018,06,10,01,26,109.530000,
2018,06,10,01,27,109.530000,
2018,06,10,01,28,109.530000,
2018,06,10,01,29,109.530000,
2018,06,10,01,30,109.530000,
2018,06,10,01,31,109.530000,
2018,06,10,01,32,109.530000,
2018,06,10,01,33,109.530000,
2018,06,10,01,34,109.530000,
2018,06,10,01,35,109.530000,
2018,06,10,01,36,109.530000,
2018,06,10,01,37,109.530000,
2018,06,10,01,38,109.530000,
2018,06,10,01,39,109.530000,
2018,06,10,01,40,109.530000,
2018,06,10,01,41,109.530000,
2018,06,10,01,42,109.530000,
2018,06,10,01,43,109.530000,
2018,06,10,01,44,109.530000,
2018,06,10,01,45,109.530000,
2018,06,10,01,46,109.530000,
2018,06,10,01,47,109.530000,
2018,06,10,01,48,109.530000,
2018,06,10,01,49,109.530000,
2018,06,10,01,50,109.530000,
2018,06,10,01,51,109.530000,
2018,06,10,01,52,109.530000,
2018,06,10,01,53,109.530000,
2018,06,10,01,54,109.530000,
2018,06,10,01,55,109.530000,
2018,06,10,01,56,109.530000,
2018,06,10,01,57,109.530000,
2018,06,10,01,58,109.530000,
2018,06,10,01,59,109.530000,
2018,06,10,02,00,109.530000,
2018,06,10,02,01,109.530000,
2018,06,10,02,02,109.530000,
2018,06,10,02,03,109.530000,
2018,06,10,02,04,109.530000,
2018,06,10,02,05,109.530000,
2018,06,10,02,06,109.530000,
2018,06,10,02,07,109.530000,
2018,06,10,02,08,109.530000,
2018,06,10,02,09,109.530000,
2018,06,10,02,10,109.530000,
2018,06,10,02,11,109.530000,
2018,06,10,02,12,109.530000,
2018,06,10,02,13,109.530000,
2018,06,10,02,14,109.530000,
2018,06,10,02,15,109.530000,
2018,06,10,02,16,109.530000,
2018,06,10,02,17,109.530000,
2018,06,10,02,18,109.530000,
2018,06,10,02,19,109.530000,
2018,06,10,02,20,109.530000,
2018,06,10,02,21,109.530000,
2018,06,10,02,22,109.530000,
2018,06,10,02,23,109.530000,
2018,06,10,02,24,109.530000,
2018,06,10,02,25,109.530000,
2018,06,10,02,26,109.530000,
2018,06,10,02,27,109.530000,
2018,06,10,02,28,109.530000,
2018,06,10,02,29,109.530000,
2018,06,10,02,30,109.530000,
2018,06,10,02,31,109.530000,
2018,06,10,02,32,109.530000,
2018,06,10,02,33,109.530000,
2018,06,10,02,34,109.530000,
2018,06,10,02,35,109.530000,
2018,06,10,02,36,109.530000,
2018,06,10,02,37,109.530000,
2018,06,10,02,38,109.530000,
2018,06,10,02,39,109.530000,
2018,06,10,02,40,109.530000,
2018,06,10,02,41,109.530000,
2018,06,10,02,42,109.530000,
2018,06,10,02,43,109.530000,
2018,06,10,02,44,109.530000,
2018,06,10,02,45,109.530000,
2018,06,10,02,46,109.530000,
2018,06,10,02,47,109.530000,
2018,06,10,02,48,109.530000,
2018,06,10,02,49,109.530000,
2018,06,10,02,50,109.530000,
2018,06,10,02,51,109.530000,
2018,06,10,02,52,109.530000,
2018,06,10,02,53,109.530000,
2018,06,10,02,54,109.530000,
2018,06,10,02,55,109.530000,
2018,06,10,02,56,109.530000,
2018,06,10,02,57,109.530000,
2018,06,10,02,58,109.530000,
2018,06,10,02,59,109.530000,
2018,06,10,03,00,109.530000,
2018,06,10,03,01,109.530000,
2018,06,10,03,02,109.530000,
2018,06,10,03,03,109.530000,
2018,06,10,03,04,109.530000,
2018,06,10,03,05,109.530000,
2018,06,10,03,06,109.530000,
2018,06,10,03,07,109.530000,
2018,06,10,03,08,109.530000,
2018,06,10,03,09,109.530000,
2018,06,10,03,10,109.530000,
2018,06,10,03,11,109.530000,
2018,06,10,03,12,109.530000,
2018,06,10,03,13,109.530000,
2018,06,10,03,14,109.530000,
2018,06,10,03,15,109.530000,
2018,06,10,03,16,109.530000,
2018,06,10,03,17,109.530000,
2018,06,10,03,18,109.530000,
2018,06,10,03,19,109.530000,
2018,06,10,03,20,109.530000,
2018,06,10,03,21,109.530000,
2018,06,10,03,22,109.530000,
2018,06,10,03,23,109.530000,
2018,06,10,03,24,109.530000,
2018,06,10,03,25,109.530000,
2018,06,10,03,26,109.530000,
2018,06,10,03,27,109.530000,
2018,06,10,03,28,109.530000,
2018,06,10,03,29,109.530000,
2018,06,10,03,30,109.530000,
2018,06,10,03,31,109.530000,
2018,06,10,03,32,109.530000,
2018,06,10,03,33,109.530000,
2018,06,10,03,34,109.530000,
2018,06,10,03,35,109.530000,
2018,06,10,03,36,109.530000,
2018,06,10,03,37,109.530000,
2018,06,10,03,38,109.530000,
2018,06,10,03,39,109.530000,
2018,06,10,03,40,109.530000,
2018,06,10,03,41,109.530000,
2018,06,10,03,42,109.530000,
2018,06,10,03,43,109.530000,
2018,06,10,03,44,109.530000,
2018,06,10,03,45,109.530000,
2018,06,10,03,46,109.530000,
2018,06,10,03,47,109.530000,
2018,06,10,03,48,109.530000,
2018,06,10,03,49,109.530000,
2018,06,10,03,50,109.530000,
2018,06,10,03,51,109.530000,
2018,06,10,03,52,109.530000,
2018,06,10,03,53,109.530000,
2018,06,10,03,54,109.530000,
2018,06,10,03,55,109.530000,
2018,06,10,03,56,109.530000,
2018,06,10,03,57,109.530000,
2018,06,10,03,58,109.530000,
2018,06,10,03,59,109.530000,
2018,06,10,04,00,109.530000,
2018,06,10,04,01,109.530000,
2018,06,10,04,02,109.530000,
2018,06,10,04,03,109.530000,
2018,06,10,04,04,109.530000,
2018,06,10,04,05,109.530000,
2018,06,10,04,06,109.530000,
2018,06,10,04,07,109.530000,
2018,06,10,04,08,109.530000,
2018,06,10,04,09,109.530000,
2018,06,10,04,10,109.530000,
2018,06,10,04,11,109.530000,
2018,06,10,04,12,109.530000,
2018,06,10,04,13,109.530000,
2018,06,10,04,14,109.530000,
2018,06,10,04,15,109.530000,
2018,06,10,04,16,109.530000,
2018,06,10,04,17,109.530000,
2018,06,10,04,18,109.530000,
2018,06,10,04,19,109.530000,
